Product Category,Product Group,Product Brand,Product Model,Product Type,Product Colour,Product Size,Approx Weight,Short Description,Unit,Web Description,Trade Price (Â£),Qty Price (Â£),Retail Price (Â£),Quantity Break,Barcode,Commodity Code,Product Name,Manufacturer Part Code,IDPartnumber,Supplier
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 29mm Axle, Machined Alloy",,29x118mm,0,5DEV CRANK AXLE AL 29x118mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,,8714969000,Crank Spindle - 29mm Dub Boost,CFS29X118,CK5DA2918,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 29mm Axle, Machined Alloy",,29x122mm,0,5DEV CRANK AXLE AL 29x122mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022059,8714969000,Crank Spindle - 29mm Dub Boost,CFS29X122,CK5DA2922,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 29mm Axle, Machined Alloy, DUB Boost",,29x130mm,0,5DEV CRANK AXLE AL 29x130mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022042,8714969000,Crank Spindle - 29mm Dub Boost,CFS29X130,CK5DA2930,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 29mm Axle, Machined Alloy, DUB Super Boost",,29x136mm,0,5DEV CRANK AXLE AL 29x136mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022127,8714969000,Crank Spindle - 29mm Dub Boost,CFS29X136,CK5DA2936,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 29mm Axle, Machined Alloy, DUB Super Boost",,29x139mm,0,5DEV CRANK AXLE AL 29x139mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022066,8714969000,Crank Spindle - 29mm Dub Boost,CFS29X139,CK5DA2939,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 29mm Axle, Machined Alloy, DUB DH",,29x145mm,0,5DEV CRANK AXLE AL 29x145mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022073,8714969000,Crank Spindle - 29mm Dub Boost,CFS29X145,CK5DA2945,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 29mm Axle, Machined Alloy, DUB DH",,29x164mm,0,5DEV CRANK AXLE AL 29x164mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022110,8714969000,Crank Spindle - 29mm Dub Boost,CFS29X164,CK5DA2964,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 30mm Axle, Machined Alloy, Boost",,30x130mm,0,5DEV CRANK AXLE AL 30x130mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022080,8714969000,Crank Spindle - 30mm,CFS30X130,CK5DA3030,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 30mm Axle, Machined Alloy, Super Boost",,30x139mm,0,5DEV CRANK AXLE AL 30x139mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022097,8714969000,Crank Spindle - 30mm,CFS30X139,CK5DA3039,Ison
Cranks & Chainrings,Crank Spares,5Dev,Crank Spindle,"Alloy to suit all 5DEV Cranks - 30mm Axle, Machined Alloy, DH",,30x145mm,0,5DEV CRANK AXLE AL 30x145mm,Each,"Precision CNC'd 7075 Alloy spindle, to complete your 5DEV crankset",62.16,54.05,99.99,0,0850054022103,8714969000,Crank Spindle - 30mm,CFS30X145,CK5DA3045,Ison
Cranks & Chainrings,Crank Spares,5Dev,Stainless Steel Crank Spindle,"Machined Stainless Steel to suit all 5DEV Cranks - 29mm Axle, DUB Super Boost",,29x139mm,616,5DEV CRANK AXLE S.STL 29x139mm,Each,"Made in the USA in San Diego out of 17-4 stainless steel, we present to you the Heavy Metal Downhill Spindles.",124.32,108.10,199.99,0,850076919658,8714969000,Heavy Metal Downhill Spindles,SS29X139,CK5DAS2939,Ison
Cranks & Chainrings,Crank Spares,5Dev,Stainless Steel Crank Spindle,"Machined Stainless Steel to suit all 5DEV Cranks - 29mm Axle, DUB DH",,29x145mm,649,5DEV CRANK AXLE S.STL 29x145mm,Each,"Made in the USA in San Diego out of 17-4 stainless steel, we present to you the Heavy Metal Downhill Spindles.",124.32,108.10,199.99,0,850076919665,8714969000,Heavy Metal Downhill Spindles,SS29X145,CK5DAS2945,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike BOSCH Crankset,"Bosch/TQ/Avinox/Levo G4 Motor type, IS Spline fit, 7075-T651 Machined Billet Alloy",Black,155mm,490,5DEV eBIKE BOSCH CRANKS 155mm BLK,Set,"Designed for aggressive e-MTB riding, the 5DEV R-SPEC eCranks deliver uncompromising strength, precision machining, and improved trail clearance across todays leading e-bike motor platforms.

Machined in the USA from 7075-T651 aerospace-grade aluminium billet, these cranks are built specifically for Bosch, TQ, Avinox, and Gen 4 Specialized Levo motor systems, offering outstanding stiffness, durability, and long-term reliability. The R-SPEC low-profile design reduces bulk around the pedal interface to help minimise pedal strikes on technical climbs and rocky terrain  exactly where modern e-MTBs are pushed hardest.

Shorter crank lengths improve cadence efficiency and rider control, making these cranks an ideal upgrade for trail, enduro, and e-MTB riders looking to fine-tune their setup without compromise.

Whether youre upgrading for performance, durability, or aesthetics, the 5DEV eCranks bring unmistakable CNC-machined style and proven strength to your e-MTB build.

Key Features

R-SPEC crank design for maximum strength and ground clearance
Compatible with Bosch, TQ, Avinox & Gen 4 Specialized Levo motor systems
CNC-machined from 7075-T651 aluminium billet
Short crank lengths to reduce pedal strikes and improve cadence
Includes crank bolts and self-extracting hardware
Made in the USA
Specifications

Lengths: 155 mm / 160 mm
Q-Factor: Approx. 192 mm
Weight: Approx. 440490 g (pair, length dependent)
Material: 7075-T651 Aluminium",279.73,243.24,449.99,0,0850049514088,8714963090,R-SPEC eBike Crank Arms - Bosch/TQ/Avinox/Gen 4 Levo,EB-R155-01,CK5DEBBEK,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike BOSCH Crankset,"Bosch/TQ/Avinox/Levo G4 Motor type, IS Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,155mm,490,5DEV eBIKE BOSCH CRANKS 155mm SIL,Set,"Designed for aggressive e-MTB riding, the 5DEV R-SPEC eCranks deliver uncompromising strength, precision machining, and improved trail clearance across todays leading e-bike motor platforms.

Machined in the USA from 7075-T651 aerospace-grade aluminium billet, these cranks are built specifically for Bosch, TQ, Avinox, and Gen 4 Specialized Levo motor systems, offering outstanding stiffness, durability, and long-term reliability. The R-SPEC low-profile design reduces bulk around the pedal interface to help minimise pedal strikes on technical climbs and rocky terrain  exactly where modern e-MTBs are pushed hardest.

Shorter crank lengths improve cadence efficiency and rider control, making these cranks an ideal upgrade for trail, enduro, and e-MTB riders looking to fine-tune their setup without compromise.

Whether youre upgrading for performance, durability, or aesthetics, the 5DEV eCranks bring unmistakable CNC-machined style and proven strength to your e-MTB build.

Key Features

R-SPEC crank design for maximum strength and ground clearance
Compatible with Bosch, TQ, Avinox & Gen 4 Specialized Levo motor systems
CNC-machined from 7075-T651 aluminium billet
Short crank lengths to reduce pedal strikes and improve cadence
Includes crank bolts and self-extracting hardware
Made in the USA
Specifications

Lengths: 155 mm / 160 mm
Q-Factor: Approx. 192 mm
Weight: Approx. 440490 g (pair, length dependent)
Material: 7075-T651 Aluminium",279.73,243.24,449.99,0,0850049514095,8714963090,R-SPEC eBike Crank Arms - Bosch/TQ/Avinox/Gen 4 Levo,EB-R155-02,CK5DEBBES,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike BOSCH Crankset,"Bosch/TQ/Avinox/Levo G4 Motor type, IS Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,160mm,490,5DEV eBIKE BOSCH CRANKS 160mm SIL,Set,"Designed for aggressive e-MTB riding, the 5DEV R-SPEC eCranks deliver uncompromising strength, precision machining, and improved trail clearance across todays leading e-bike motor platforms.

Machined in the USA from 7075-T651 aerospace-grade aluminium billet, these cranks are built specifically for Bosch, TQ, Avinox, and Gen 4 Specialized Levo motor systems, offering outstanding stiffness, durability, and long-term reliability. The R-SPEC low-profile design reduces bulk around the pedal interface to help minimise pedal strikes on technical climbs and rocky terrain  exactly where modern e-MTBs are pushed hardest.

Shorter crank lengths improve cadence efficiency and rider control, making these cranks an ideal upgrade for trail, enduro, and e-MTB riders looking to fine-tune their setup without compromise.

Whether youre upgrading for performance, durability, or aesthetics, the 5DEV eCranks bring unmistakable CNC-machined style and proven strength to your e-MTB build.

Key Features

R-SPEC crank design for maximum strength and ground clearance
Compatible with Bosch, TQ, Avinox & Gen 4 Specialized Levo motor systems
CNC-machined from 7075-T651 aluminium billet
Short crank lengths to reduce pedal strikes and improve cadence
Includes crank bolts and self-extracting hardware
Made in the USA
Specifications

Lengths: 155 mm / 160 mm
Q-Factor: Approx. 192 mm
Weight: Approx. 440490 g (pair, length dependent)
Material: 7075-T651 Aluminium",281.24,243.75,449.99,0,0850049514118,8714963090,R-SPEC eBike Crank Arms - Bosch/TQ/Avinox/Gen 4 Levo,EB-R160-02,CK5DEBBFS,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ISIS Crankset,"ISIS type, IS Spline fit, 7075-T651 Machined Billet Alloy",Black,155mm,440,5DEV eBIKE ISIS CRANKS 155mm BLK,Set,"eCranks for the Specialized Levo, Specialized Kenevo, Brose and TQ eBike",281.24,243.75,449.99,0,0850049514064,8714963090,e-Bike ISIS Crankset,ESIS-R155-01,CK5DEBIEK,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ISIS Crankset,"ISIS type, IS Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,155mm,440,5DEV eBIKE ISIS CRANKS 155mm SIL,Set,"eCranks for the Specialized Levo, Specialized Kenevo, Brose and TQ eBike",281.24,243.75,449.99,0,0850049514071,8714963090,e-Bike ISIS Crankset,ESIS-R155-02,CK5DEBIES,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ISIS Crankset,"ISIS type, IS Spline fit, 7075-T651 Machined Billet Alloy",Black,160mm,440,5DEV eBIKE ISIS CRANKS 160mm BLK,Set,"eCranks for the Specialized Levo, Specialized Kenevo, Brose and TQ eBike",281.24,243.75,449.99,0,0850042201138,8714963090,e-Bike ISIS Crankset,ESIS-R160-01,CK5DEBIFK,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ISIS Crankset,"ISIS type, IS Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,160mm,440,5DEV eBIKE ISIS CRANKS 160mm SIL,Set,"eCranks for the Specialized Levo, Specialized Kenevo, Brose and TQ eBike",281.24,243.75,449.99,0,0850042201145,8714963090,e-Bike ISIS Crankset,ESIS-R160-02,CK5DEBIFS,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike Specialized Levo SL Crankset,"Specialized Levo SL DUB type, SL Spline fit, 7075-T651 Machined Billet Alloy",Black,160mm,446,5DEV eBIKE LEVO SL CRANKS 160mm BLK,Set,"eCranks for the new SRAM/Brose motors as well as the Gen 2 Specialized Turbo Levo SL. 

These cranks will fit any motor with the SRAM Computer or the new Specialized SL motor. 

5DEV CNC'd R-SPEC Trail Enduro Cranks for the Gen 2 Turbo Levo SL. Model year 2023+ with the SRAM Motor and Sram DUB Spline system. These cranks will not work on the first gen Turbo Levo SL Motor. 

Easy to install. Simply remove your stock cranks with a 8mm Hex and install your 5DEV Crank arms just like you would on your MTB. This system uses the same interface as the SRAM cranks. ",279.73,243.24,449.99,0,0850058721293,8714963090,R-Spec eBIKE Levo SL Cranks,ESSL-R160-01,CK5DEBLFK,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike Specialized Levo SL Crankset,"Specialized Levo SL DUB type, SL Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,160mm,446,5DEV eBIKE LEVO SL CRANKS 160mm SIL,Set,"eCranks for the new SRAM/Brose motors as well as the Gen 2 Specialized Turbo Levo SL. 

These cranks will fit any motor with the SRAM Computer or the new Specialized SL motor. 

5DEV CNC'd R-SPEC Trail Enduro Cranks for the Gen 2 Turbo Levo SL. Model year 2023+ with the SRAM Motor and Sram DUB Spline system. These cranks will not work on the first gen Turbo Levo SL Motor. 

Easy to install. Simply remove your stock cranks with a 8mm Hex and install your 5DEV Crank arms just like you would on your MTB. This system uses the same interface as the SRAM cranks. ",279.73,243.24,449.99,0,0850058721309,8714963090,R-Spec eBIKE Levo SL Cranks,ESSL-R160-02,CK5DEBLFS,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike Shimano EP8 Crankset,"Shimano Steps EP8 Motor type, EP8 Spline fit, 7075-T651 Machined Billet Alloy",Black,155mm,440,5DEV eBIKE SHIM EP8 CRANKS 155mm BLK,Set,5DEV's exclusive design will greatly reduce crank strikes when climbing through technical rock sections. These cranks install in minutes and are made to handle anything you throw at them!,279.73,243.24,449.99,0,0850049514040,8714963090,e-Bike Shimano EP8 Crankset,ESEP8-R155-01,CK5DEBSEK,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike Shimano EP8 Crankset,"Shimano Steps EP8 Motor type, EP8 Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,155mm,440,5DEV eBIKE SHIM EP8 CRANKS 155mm SIL,Set,5DEV's exclusive design will greatly reduce crank strikes when climbing through technical rock sections. These cranks install in minutes and are made to handle anything you throw at them!,279.73,243.24,449.99,0,0850049514057,8714963090,e-Bike Shimano EP8 Crankset,ESEP8-R155-02,CK5DEBSES,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike Shimano EP8 Crankset,"Shimano Steps EP8 Motor type, EP8 Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,160mm,440,5DEV eBIKE SHIM EP8 CRANKS 160mm SIL,Set,5DEV's exclusive design will greatly reduce crank strikes when climbing through technical rock sections. These cranks install in minutes and are made to handle anything you throw at them!,281.24,243.75,449.99,0,0850042201114,8714963090,e-Bike Shimano EP8 Crankset,ESEP8-R160-02,CK5DEBSFS,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ETOR Crankset,"ETOR - Fazua 60 Motor type, ETOR Spline fit, 7075-T651 Machined Billet Alloy",Black,160mm,446,5DEV eBIKE ETOR CRANKS 160mm BLK,Set,Precision-crafted cranks designed for Fauza R60 motors,279.73,243.24,449.99,0,0850054022325,8714963090,e-Bike ETOR Crankset,ETOR-R160-01,CK5DEBTFK,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ETOR Crankset,"ETOR - Fazua 60 Motor type, ETOR Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,160mm,446,5DEV eBIKE ETOR CRANKS 160mm SIL,Set,Precision-crafted cranks designed for Fauza R60 motors,279.73,243.24,449.99,0,0850054022332,8714963090,e-Bike ETOR Crankset,ETOR-R160-02,CK5DEBTFS,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ETOR Crankset,"ETOR - Fazua 60 Motor type, ETOR Spline fit, 7075-T651 Machined Billet Alloy",Black,165mm,446,5DEV eBIKE ETOR CRANKS 165mm BLK,Set,Precision-crafted cranks designed for Fauza R60 motors,281.24,243.75,449.99,0,0850054022349,8714963090,e-Bike ETOR Crankset,ETOR-R165-01,CK5DEBTGK,Ison
Cranks & Chainrings,Cranks - eBike,5Dev,e-Bike ETOR Crankset,"ETOR - Fazua 60 Motor type, ETOR Spline fit, 7075-T651 Machined Billet Alloy",Raw Silver,165mm,446,5DEV eBIKE ETOR CRANKS 165mm SIL,Set,Precision-crafted cranks designed for Fauza R60 motors,281.24,243.75,449.99,0,0850054022943,8714963090,e-Bike ETOR Crankset,ETOR-R165-02,CK5DEBTGS,Ison
